SYMBOL, SERIES,DATE, PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 04-Nov-2022,88.4,88.4,93,88.4,91.5,91.4,91.46,196800,179.99,4143,95952,48.76
21STCENMGM, EQ, 04-Nov-2022,23.05,23,23.3,22.75,22.75,22.75,22.95,6205,1.42,70,3926,63.27
3IINFOLTD, EQ, 04-Nov-2022,44.15,44.4,44.5,43.5,43.75,43.9,43.91,352627,154.84,2757,224858,63.77
3MINDIA, EQ, 04-Nov-2022,23071.5,23178,23358.95,22801,22851,22871.95,22969.36,1318,302.74,642,809,61.38
3PLAND, EQ, 04-Nov-2022,18.45,17.8,18.8,17.75,18.6,18.2,18.19,5056,0.92,123,2289,45.27
448GS2023, GS, 04-Nov-2022,95.01,95,95,95,95,95,95,100,0.1,1,100,100
4THDIM, EQ, 04-Nov-2022,83.35,83.4,85,83.4,85,85,84.97,2268,1.93,36,2267,99.96
563GS2026, GS, 04-Nov-2022,95.5,95.4,95.4,95.4,95.4,95.4,95.4,100,0.1,1,100,100
574GS2026, GS, 04-Nov-2022,97.25,97.31,97.31,97,97,97.2,97.21,1911,1.86,7,1911,100
577GS2030, GS, 04-Nov-2022,90.99,91,91,91,91,91,91,898,0.82,1,898,100
5PAISA, EQ, 04-Nov-2022,319.35,320,324,318.95,319.5,320.45,321.21,15391,49.44,900,9793,63.63
610GS2031, GS, 04-Nov-2022,93.95,94,94,93.9,93.9,93.9,93.95,121,0.11,5,121,100
63MOONS, EQ, 04-Nov-2022,157.4,159.35,162,153.9,157,157.35,157.23,84137,132.29,2005,49161,58.43
664GS2035, GS, 04-Nov-2022,90.25,94.76,94.76,94.76,94.76,94.76,94.76,2000,1.9,1,2000,100
667GS2035, GS, 04-Nov-2022,96,96,96,96,96,96,96,87,0.08,4,87,100
667GS2050, GS, 04-Nov-2022,94,94,95,94,95,95,94.85,2402,2.28,10,2402,100
669GS2024, GS, 04-Nov-2022,101.8,101.8,101.8,100.75,101.8,101.8,101.6,50000,50.8,4,49850,99.7
676GS2061, GS, 04-Nov-2022,95,95,96,95,96,96,95.98,6131,5.88,7,6131,100
695GS2061, GS, 04-Nov-2022,97.5,97.5,97.5,96.25,96.25,96.49,96.56,4344,4.19,5,4344,100
699GS2051, GS, 04-Nov-2022,97.2,97,97.2,97,97.1,97.1,97.12,4131,4.01,7,4131,100
710GS2029, GS, 04-Nov-2022,100.25,100,100,100,100,100,100,10,0.01,1,10,100
726GS2032, GS, 04-Nov-2022,101,101.1,101.1,101.1,101.1,101.1,101.1,50,0.05,1,50,100
74GS2062, GS, 04-Nov-2022,100,99.75,99.75,99.75,99.75,99.75,99.75,12230,12.2,9,12230,100
754GS2036, GS, 04-Nov-2022,104.54,105.25,105.25,104.55,104.55,104.55,104.76,29060,30.44,17,29060,100
759GS2026, GS, 04-Nov-2022,99.66,100,100,100,100,100,100,330,0.33,2,330,100
75GS2034, GS, 04-Nov-2022,101.8,102,102,102,102,102,102,880,0.9,2,880,100
828GS2032, GS, 04-Nov-2022,109,103.6,103.6,103.6,103.6,103.6,103.6,1,0,1,1,100
832GS2032, GS, 04-Nov-2022,97.09,101.94,101.94,101.94,101.94,101.94,101.94,1,0,1,1,100
92GS2030, GS, 04-Nov-2022,118,115,115,115,115,115,115,264,0.3,1,264,100
A2ZINFRA, EQ, 04-Nov-2022,10.2,10.1,11.9,10.1,11.5,11.45,11,1858800,204.5,2345,1143698,61.53
AAATECH, SM, 04-Nov-2022,69.3,67.5,70.5,67.5,70.5,70.5,69,9000,6.21,2,9000,100
AAKASH, EQ, 04-Nov-2022,10.85,10.85,11.35,10.85,11.35,11.35,11.24,304809,34.27,564,238222,78.15
AAREYDRUGS, EQ, 04-Nov-2022,37.55,37.9,38,37.25,37.6,37.7,37.61,12933,4.86,178,9166,70.87
AARON, BE, 04-Nov-2022,156.6,158,158,154.5,156,155.9,156.15,3282,5.12,73, -, -
AARTIDRUGS, EQ, 04-Nov-2022,464.35,466.7,466.7,458.75,463.4,463.7,463.82,51542,239.06,3745,21187,41.11
AARTIIND, EQ, 04-Nov-2022,730.7,733.55,738.2,722.4,732.9,733.65,728.7,624137,4548.11,20328,327116,52.41
AARTISURF, EQ, 04-Nov-2022,798.1,804,806.4,780,804.9,800.5,793.6,10071,79.92,923,6802,67.54
AARVEEDEN, EQ, 04-Nov-2022,25.15,25.75,25.75,25.1,25.5,25.5,25.46,2731,0.7,52,872,31.93
AARVI, EQ, 04-Nov-2022,156.8,155,157.85,153.45,154.05,155.45,154.87,19506,30.21,428,10459,53.62
AAVAS, EQ, 04-Nov-2022,1867.85,1877.2,1925,1870.05,1897,1895,1893.25,144204,2730.15,19769,73985,51.31
ABAN, EQ, 04-Nov-2022,50.6,50.7,51.05,50.3,50.3,50.45,50.53,53629,27.1,706,34506,64.34
ABB, EQ, 04-Nov-2022,3225.25,3235,3267.5,3201,3220,3219.9,3228.7,226208,7303.58,29480,104153,46.04
ABBOTINDIA, EQ, 04-Nov-2022,19950.65,19939,19939,19405,19474.95,19481.8,19590.03,15202,2978.08,3218,9090,59.79
ABCAPITAL, EQ, 04-Nov-2022,119.75,120.2,124.5,119,124.4,124.15,122.35,6611650,8089.34,35767,2951386,44.64
ABCOTS, SM, 04-Nov-2022,47,47,47,47,47,47,47,4000,1.88,1,4000,100
